Time (s),Servo Angle (degrees),Lever Angle (degrees),Disturbance Angle,Reward Delivered (0/1)
0.010057926177978516,128.0,-0.1,0.0,0
0.09343123435974121,79.1,-0.1,0.0,0
0.17254281044006348,61.1,-0.1,0.0,0
0.25188779830932617,59.7,-0.1,0.0,0
0.3310275077819824,59.2,-0.1,0.0,0
0.41033101081848145,60.2,-0.1,0.0,0
0.4896366596221924,59.8,-0.1,0.0,0
0.5687804222106934,59.5,-0.1,0.0,0
0.6480708122253418,59.1,-0.2,0.0,0
0.7274343967437744,59.5,-0.2,0.0,0
0.8065271377563477,59.9,-0.0,0.0,0
0.885800838470459,60.4,0.1,0.0,0
0.9648873805999756,58.7,-0.1,0.0,0
1.0441875457763672,59.7,-0.2,0.0,0
1.12353515625,59.4,-0.2,0.0,0
1.2025971412658691,59.6,-0.1,0.0,0
1.2818341255187988,60.1,-0.2,0.0,0
1.3608968257904053,60.2,-0.1,0.0,0
1.4401826858520508,60.5,0.0,0.0,0
1.5194201469421387,60.6,-0.0,0.0,0
1.5984981060028076,58.5,-0.2,0.0,0
1.6777780055999756,59.1,-0.1,0.0,0
1.7570240497589111,59.3,-0.1,0.0,0
1.8361175060272217,58.8,-0.1,0.0,0
1.9153656959533691,58.9,-0.1,0.0,0
1.9944477081298828,59.0,-0.1,0.0,0
2.0737662315368652,59.7,-0.2,0.0,0
2.1530652046203613,59.6,-0.2,0.0,0
2.232180118560791,59.7,-0.0,0.0,0
2.31144118309021,59.6,-0.1,0.0,0
2.3905344009399414,59.6,-0.2,0.0,0
2.4698333740234375,59.0,-0.1,0.0,0
2.549116373062134,60.0,-0.0,0.0,0
2.6282293796539307,59.6,-0.1,0.0,0
2.707521677017212,59.5,-0.1,0.0,0
2.7867863178253174,59.6,-0.1,0.0,0
2.865901470184326,60.0,-0.1,0.0,0
2.9451801776885986,60.4,-0.1,0.0,0
3.024287700653076,60.6,-0.1,0.0,0
3.103546619415283,60.4,-0.0,0.0,0
3.182847261428833,60.7,0.0,0.0,0
3.26193904876709,61.2,-0.1,0.0,0
3.3412063121795654,61.7,0.0,0.0,0
3.420337438583374,61.4,0.2,0.0,0
3.4996395111083984,61.6,0.3,0.0,0
