Time (s)	Servo Angle (degrees)	Lever Angle (degrees)	Disturbance Angle	Reward Delivered (0/1)	Trial Number/Status
2.384185791015625e-06	0.0	0.0	0.0	1	0
0.013472557067871094	0.0	0.0	0.0	0	1
0.023960590362548828	0.0	-0.1	0.0	0	1
0.034488677978515625	0.0	0.0	0.0	0	1
0.044969797134399414	0.0	-0.3	0.0	0	1
0.05546164512634277	0.0	-0.4	0.0	0	1
0.06593942642211914	0.0	0.0	0.0	0	1
0.07643365859985352	0.0	-0.3	0.0	0	1
0.08692765235900879	0.0	-0.0	0.0	0	1
0.09740495681762695	0.0	-0.0	0.0	0	1
0.10788989067077637	0.0	-0.3	0.0	0	1
0.11837196350097656	0.0	-0.1	0.0	0	1
0.128861665725708	0.0	-0.2	0.0	0	1
0.13933610916137695	0.0	-0.3	0.0	0	1
0.14982366561889648	0.0	-0.0	0.0	0	1
0.16029787063598633	0.0	-0.0	0.0	0	1
0.17078113555908203	0.0	0.1	0.0	0	1
0.18126988410949707	0.0	0.1	0.0	0	1
0.19175243377685547	0.0	-0.2	0.0	0	1
0.20224332809448242	0.0	0.1	0.0	0	1
0.21271872520446777	0.0	0.0	0.0	0	1
0.22320771217346191	0.0	-0.2	0.0	0	1
0.23368358612060547	0.0	0.1	0.0	0	1
0.24417376518249512	0.0	-0.2	0.0	0	1
0.2546520233154297	0.0	-0.3	0.0	0	1
0.2651383876800537	0.0	-0.1	0.0	0	1
0.2756340503692627	0.0	-0.4	0.0	0	1
0.2861156463623047	0.0	-0.3	0.0	0	1
0.29660582542419434	0.0	-0.3	0.0	0	1
0.3070802688598633	0.0	-0.3	0.0	0	1
0.3175790309906006	0.0	0.1	0.0	0	1
0.32806921005249023	0.0	-0.0	0.0	0	1
0.338543176651001	0.0	-0.2	0.0	0	1
0.3490309715270996	0.0	0.0	0.0	0	1
0.35950708389282227	0.0	-0.1	0.0	0	1
0.36999940872192383	0.0	-0.0	0.0	0	1
0.38047266006469727	0.0	-0.2	0.0	0	1
0.3909587860107422	0.0	-0.4	0.0	0	1
0.4014425277709961	0.0	-0.1	0.0	0	1
0.41193127632141113	0.0	-0.1	0.0	0	1
0.42241358757019043	0.0	-0.3	0.0	0	1
0.4328882694244385	0.0	0.0	0.0	0	1
0.4433751106262207	0.0	-0.1	0.0	0	1
0.45384645462036133	0.0	-0.2	0.0	0	1
0.46433234214782715	0.0	0.0	0.0	0	1
0.4748096466064453	0.0	-0.2	0.0	0	1
0.48529648780822754	0.0	0.1	0.0	0	1
0.49577927589416504	0.0	0.0	0.0	0	1
0.5062563419342041	0.0	-0.1	0.0	0	1
0.5167486667633057	0.0	0.2	0.0	0	1
0.5272247791290283	0.0	-0.1	0.0	0	1
0.5377206802368164	0.0	0.1	0.0	0	1
0.5481970310211182	0.0	0.1	0.0	0	1
0.5586862564086914	0.0	-0.1	0.0	0	1
0.5691590309143066	0.0	0.1	0.0	0	1
0.5796506404876709	0.0	0.0	0.0	0	1
0.5901260375976562	0.0	-0.2	0.0	0	1
0.6006064414978027	0.0	0.1	0.0	0	1
0.6110935211181641	0.0	-0.1	0.0	0	1
0.6215667724609375	0.0	-0.2	0.0	0	1
0.632051944732666	0.0	-0.1	0.0	0	1
0.6425201892852783	0.0	-0.1	0.0	0	1
0.653008222579956	0.0	-0.0	0.0	0	1
0.6634848117828369	0.0	-0.1	0.0	0	1
0.6739675998687744	0.0	-0.2	0.0	0	1
0.6844584941864014	0.0	0.1	0.0	0	1
0.6949317455291748	0.0	-0.0	0.0	0	1
0.7054195404052734	0.0	-0.2	0.0	0	1
0.7158923149108887	0.0	0.0	0.0	0	1
0.7263784408569336	0.0	-0.1	0.0	0	1
0.7368359565734863	0.0	-0.2	0.0	0	1
0.7473294734954834	0.0	0.1	0.0	0	1
0.7578058242797852	0.0	-0.2	0.0	0	1
0.7682850360870361	0.0	-0.0	0.0	0	1
0.7787775993347168	0.0	-0.1	0.0	0	1
0.7892513275146484	0.0	-0.2	0.0	0	1
0.7997443675994873	0.0	0.0	0.0	0	1
0.8102207183837891	0.0	-0.2	0.0	0	1
0.8207097053527832	0.0	-0.1	0.0	0	1
0.8311865329742432	0.0	-0.0	0.0	0	1
0.8416609764099121	0.0	-0.2	0.0	0	1
0.8521468639373779	0.0	0.0	0.0	0	1
0.862616777420044	0.0	-0.1	0.0	0	1
0.8731093406677246	0.0	-0.2	0.0	0	1
0.88358473777771	0.0	0.0	0.0	0	1
0.8940715789794922	0.0	-0.1	0.0	0	1
0.9045476913452148	0.0	-0.2	0.0	0	1
0.9150354862213135	0.0	0.0	0.0	0	1
0.9255108833312988	0.0	-0.0	0.0	0	1
0.9359853267669678	0.0	0.1	0.0	0	1
0.9464724063873291	0.0	0.0	0.0	0	1
0.9569447040557861	0.0	-0.3	0.0	0	1
0.96744704246521	0.0	0.0	0.0	0	1
0.9779431819915771	0.0	-0.0	0.0	0	1
0.9884381294250488	0.0	-0.1	0.0	0	1
0.9989187717437744	0.0	0.0	0.0	0	1
1.0093917846679688	0.0	-0.0	0.0	0	1
1.019864559173584	0.0	0.0	0.0	0	1
1.0303370952606201	0.0	0.1	0.0	0	1
1.0408236980438232	0.0	-0.2	0.0	0	1
1.0513057708740234	0.0	0.1	0.0	0	1
1.061793327331543	0.0	-0.1	0.0	0	1
1.0722713470458984	0.0	-0.2	0.0	0	1
1.0827546119689941	0.0	-0.0	0.0	0	1
1.0932316780090332	0.0	-0.1	0.0	0	1
1.103708028793335	0.0	-0.2	0.0	0	1
1.1141948699951172	0.0	-0.2	0.0	0	1
1.1246743202209473	0.0	-0.2	0.0	0	1
1.135164499282837	0.0	0.1	0.0	0	1
1.1456401348114014	0.0	-0.1	0.0	0	1
1.1561288833618164	0.0	-0.2	0.0	0	1
1.1666066646575928	0.0	0.1	0.0	0	1
1.1770892143249512	0.0	-0.1	0.0	0	1
1.1875686645507812	0.0	-0.1	0.0	0	1
1.198040246963501	0.0	0.1	0.0	0	1
1.2085273265838623	0.0	-0.1	0.0	0	1
1.219001054763794	0.0	0.1	0.0	0	1
1.2294878959655762	0.0	-0.0	0.0	0	1
1.2399671077728271	0.0	-0.3	0.0	0	1
1.25044846534729	0.0	0.2	0.0	0	1
1.260932207107544	0.0	-0.1	0.0	0	1
1.2714054584503174	0.0	-0.1	0.0	0	1
1.2818973064422607	0.0	0.1	0.0	0	1
1.2923698425292969	0.0	-0.1	0.0	0	1
1.3028554916381836	0.0	0.1	0.0	0	1
1.313326358795166	0.0	-0.0	0.0	0	1
1.3238139152526855	0.0	-0.1	0.0	0	1
1.3342983722686768	0.0	0.1	0.0	0	1
1.3447723388671875	0.0	-0.0	0.0	0	1
1.3552639484405518	0.0	-0.1	0.0	0	1
1.3657357692718506	0.0	0.1	0.0	0	1
1.3762290477752686	0.0	-0.1	0.0	0	1
1.3867013454437256	0.0	0.0	0.0	0	1
1.3971879482269287	0.0	-0.1	0.0	0	1
1.4076647758483887	0.0	-0.0	0.0	0	1
1.4181389808654785	0.0	0.2	0.0	0	1
1.4286108016967773	0.0	0.1	0.0	0	1
1.4390838146209717	0.0	-0.2	0.0	0	1
1.4495725631713867	0.0	0.0	0.0	0	1
1.460047721862793	0.0	-0.1	0.0	0	1
1.470534324645996	0.0	-0.0	0.0	0	1
1.481013536453247	0.0	0.1	0.0	0	1
1.4915032386779785	0.0	-0.0	0.0	0	1
1.5019803047180176	0.0	0.2	0.0	0	1
1.5124547481536865	0.0	0.0	0.0	0	1
1.5229473114013672	0.0	0.0	0.0	0	1
1.5334253311157227	0.0	0.2	0.0	0	1
1.543914556503296	0.0	0.0	0.0	0	1
1.5543856620788574	0.0	0.0	0.0	0	1
1.5650553703308105	0.0	-0.0	0.0	0	1
1.5755422115325928	0.0	-0.1	0.0	0	1
1.5860285758972168	0.0	0.1	0.0	0	1
1.5965156555175781	0.0	0.1	0.0	0	1
1.606989860534668	0.0	-0.2	0.0	0	1
1.617485761642456	0.0	0.1	0.0	0	1
1.6279585361480713	0.0	-0.2	0.0	0	1
1.6384453773498535	0.0	-0.2	0.0	0	1
1.6489191055297852	0.0	0.1	0.0	0	1
1.6594040393829346	0.0	-0.2	0.0	0	1
1.6698799133300781	0.0	0.0	0.0	0	1
1.680361270904541	0.0	0.0	0.0	0	1
1.6908464431762695	0.0	-0.1	0.0	0	1
1.7013225555419922	0.0	0.0	0.0	0	1
1.711808681488037	0.0	-0.0	0.0	0	1
1.7222802639007568	0.0	-0.3	0.0	0	1
1.732767105102539	0.0	0.0	0.0	0	1
1.7432420253753662	0.0	-0.1	0.0	0	1
1.7537152767181396	0.0	-0.1	0.0	0	1
1.764200210571289	0.0	0.0	0.0	0	1
1.7746732234954834	0.0	0.0	0.0	0	1
1.7851653099060059	0.0	0.2	0.0	0	1
