Time (s),Servo Angle (degrees),Lever Angle (degrees),Disturbance Angle,Reward Delivered (0/1),Trial Number/Status
2.86102294921875e-06,0.0,0.0,0.0,1,0
0.013495683670043945,0.0,0.0,0.0,0,1
0.024004220962524414,0.0,-0.1,0.0,0,1
0.034531593322753906,0.0,-0.1,0.0,0,1
0.045001983642578125,0.0,-0.1,0.0,0,1
0.05548238754272461,0.0,-0.1,0.0,0,1
0.06595849990844727,0.0,-0.1,0.0,0,1
0.07644081115722656,0.0,-0.1,0.0,0,1
0.08693647384643555,0.0,-0.0,0.0,0,1
0.09741330146789551,0.0,-0.1,0.0,0,1
0.10790395736694336,0.0,-0.1,0.0,0,1
0.11838221549987793,0.0,-0.1,0.0,0,1
0.12887215614318848,0.0,-0.1,0.0,0,1
0.1393289566040039,0.0,-0.1,0.0,0,1
0.14980840682983398,0.0,-0.1,0.0,0,1
0.16030144691467285,0.0,-0.1,0.0,0,1
0.1707756519317627,0.0,-0.1,0.0,0,1
0.18126511573791504,0.0,-0.2,0.0,0,1
0.19173789024353027,0.0,-0.0,0.0,0,1
0.20222878456115723,0.0,-0.1,0.0,0,1
0.2127082347869873,0.0,-0.1,0.0,0,1
0.22318220138549805,0.0,-0.1,0.0,0,1
0.23367595672607422,0.0,-0.1,0.0,0,1
0.24415183067321777,0.0,-0.1,0.0,0,1
0.2546396255493164,0.0,-0.1,0.0,0,1
0.26512670516967773,0.0,-0.2,0.0,0,1
0.2756197452545166,0.0,-0.2,0.0,0,1
0.2860994338989258,0.0,-0.1,0.0,0,1
0.29659342765808105,0.0,-0.1,0.0,0,1
0.3070719242095947,0.0,-0.2,0.0,0,1
0.31755852699279785,0.0,-0.2,0.0,0,1
0.3280479907989502,0.0,-0.2,0.0,0,1
0.33852338790893555,0.0,-0.1,0.0,0,1
0.3490152359008789,0.0,-0.2,0.0,0,1
0.35948991775512695,0.0,-0.2,0.0,0,1
0.3699791431427002,0.0,-0.1,0.0,0,1
0.380460262298584,0.0,-0.1,0.0,0,1
0.39093708992004395,0.0,-0.2,0.0,0,1
0.40139269828796387,0.0,-0.1,0.0,0,1
0.4118666648864746,0.0,-0.3,0.0,0,1
0.42235851287841797,0.0,-0.1,0.0,0,1
0.43283724784851074,0.0,-0.1,0.0,0,1
0.4433329105377197,0.0,-0.1,0.0,0,1
0.4538075923919678,0.0,-0.1,0.0,0,1
0.4642984867095947,0.0,-0.2,0.0,0,1
0.4747653007507324,0.0,-0.3,0.0,0,1
0.48524022102355957,0.0,-0.1,0.0,0,1
0.4957273006439209,0.0,-0.1,0.0,0,1
0.5062005519866943,0.0,-0.0,0.0,0,1
0.5166981220245361,0.0,-0.1,0.0,0,1
0.5271728038787842,0.0,-0.1,0.0,0,1
0.5376675128936768,0.0,-0.1,0.0,0,1
0.5481517314910889,0.0,-0.2,0.0,0,1
0.5586285591125488,0.0,-0.1,0.0,0,1
0.5691156387329102,0.0,-0.1,0.0,0,1
0.5795891284942627,0.0,-0.2,0.0,0,1
0.5900757312774658,0.0,-0.1,0.0,0,1
0.6005587577819824,0.0,-0.2,0.0,0,1
0.6110451221466064,0.0,-0.2,0.0,0,1
0.6215236186981201,0.0,-0.1,0.0,0,1
0.6319963932037354,0.0,-0.2,0.0,0,1
0.6424474716186523,0.0,-0.3,0.0,0,1
0.6529345512390137,0.0,-0.1,0.0,0,1
0.6634271144866943,0.0,-0.3,0.0,0,1
0.6738986968994141,0.0,-0.1,0.0,0,1
0.684396505355835,0.0,-0.2,0.0,0,1
0.694871187210083,0.0,-0.1,0.0,0,1
0.7053592205047607,0.0,-0.0,0.0,0,1
0.7158365249633789,0.0,-0.1,0.0,0,1
0.7263119220733643,0.0,-0.2,0.0,0,1
0.7367997169494629,0.0,-0.0,0.0,0,1
0.7472779750823975,0.0,-0.1,0.0,0,1
0.7577662467956543,0.0,-0.1,0.0,0,1
0.7682397365570068,0.0,-0.1,0.0,0,1
0.7787277698516846,0.0,-0.1,0.0,0,1
0.7892107963562012,0.0,-0.2,0.0,0,1
0.7996976375579834,0.0,-0.2,0.0,0,1
0.8101897239685059,0.0,-0.2,0.0,0,1
0.820669412612915,0.0,-0.0,0.0,0,1
0.8311612606048584,0.0,-0.1,0.0,0,1
0.8416376113891602,0.0,-0.2,0.0,0,1
0.8521249294281006,0.0,-0.1,0.0,0,1
0.8625993728637695,0.0,-0.3,0.0,0,1
0.8730831146240234,0.0,-0.2,0.0,0,1
0.8835642337799072,0.0,-0.1,0.0,0,1
0.8940379619598389,0.0,-0.2,0.0,0,1
0.9045333862304688,0.0,-0.2,0.0,0,1
0.9150099754333496,0.0,-0.2,0.0,0,1
0.9255008697509766,0.0,-0.2,0.0,0,1
0.9359757900238037,0.0,-0.0,0.0,0,1
0.9464669227600098,0.0,-0.1,0.0,0,1
0.9569551944732666,0.0,-0.0,0.0,0,1
0.9674394130706787,0.0,-0.1,0.0,0,1
0.977940559387207,0.0,-0.1,0.0,0,1
0.9884202480316162,0.0,0.0,0.0,0,1
0.9989123344421387,0.0,-0.2,0.0,0,1
1.0093886852264404,0.0,-0.1,0.0,0,1
1.0198779106140137,0.0,-0.1,0.0,0,1
1.0303516387939453,0.0,-0.3,0.0,0,1
1.0408408641815186,0.0,-0.2,0.0,0,1
1.0513229370117188,0.0,-0.2,0.0,0,1
1.061798095703125,0.0,-0.2,0.0,0,1
1.0722830295562744,0.0,-0.0,0.0,0,1
1.0827536582946777,0.0,-0.1,0.0,0,1
1.0932395458221436,0.0,-0.3,0.0,0,1
1.1037132740020752,0.0,-0.2,0.0,0,1
