Time (s),Servo Angle (degrees),Lever Angle (degrees),Disturbance Angle,Reward Delivered (0/1)
0.002519845962524414,137.0,0.0,0.0,0
0.0049877166748046875,137.0,0.0,0.0,0
0.007443904876708984,137.0,0.0,0.0,0
0.009904146194458008,137.0,1.9,0.0,0
0.01236867904663086,137.1,1.9,0.0,0
0.014836549758911133,137.1,1.9,0.0,0
0.01729750633239746,137.1,1.9,0.0,0
0.01976299285888672,137.1,1.4,0.0,0
0.022231101989746094,135.3,1.4,0.0,0
0.02468729019165039,135.3,1.4,0.0,0
0.02714085578918457,135.3,1.4,0.0,0
0.02960062026977539,135.3,1.4,0.0,0
0.032048940658569336,132.4,1.4,0.0,0
0.03450369834899902,132.4,1.4,0.0,0
0.036956787109375,132.4,1.4,0.0,0
0.0394132137298584,132.4,1.4,0.0,0
0.04186820983886719,127.7,1.4,0.0,0
0.04432368278503418,127.7,1.4,0.0,0
0.04678082466125488,127.7,1.4,0.0,0
0.04923748970031738,127.7,1.2,0.0,0
0.05169081687927246,122.0,1.2,0.0,0
0.054141998291015625,122.0,1.2,0.0,0
0.05658864974975586,122.0,1.2,0.0,0
0.05904340744018555,122.0,1.4,0.0,0
0.0615081787109375,117.6,1.4,0.0,0
0.06396031379699707,117.6,1.4,0.0,0
0.06641125679016113,117.6,1.4,0.0,0
0.06886935234069824,117.6,1.4,0.0,0
0.0713510513305664,111.7,1.4,0.0,0
0.07380867004394531,111.7,1.4,0.0,0
0.07626104354858398,111.7,1.4,0.0,0
0.07871580123901367,111.7,1.5,0.0,0
0.08139824867248535,106.1,1.5,0.0,0
0.08423161506652832,106.1,1.5,0.0,0
0.08696508407592773,106.1,1.6,0.0,0
0.08967971801757812,100.8,1.6,0.0,0
0.09239077568054199,100.8,1.6,0.0,0
0.09510231018066406,100.8,1.6,0.0,0
0.09780097007751465,94.2,1.5,0.0,0
0.10048747062683105,94.2,1.5,0.0,0
0.10316729545593262,94.2,1.5,0.0,0
0.10584831237792969,88.9,1.5,0.0,0
0.10852313041687012,88.9,1.5,0.0,0
0.11118459701538086,88.9,1.5,0.0,0
0.11385202407836914,82.2,1.3,0.0,0
0.11649012565612793,82.2,1.3,0.0,0
0.11911368370056152,82.2,1.3,0.0,0
0.12172317504882812,77.7,1.4,0.0,0
0.12431573867797852,77.7,1.4,0.0,0
0.12689781188964844,77.7,1.4,0.0,0
0.129486083984375,71.6,1.4,0.0,0
0.13206887245178223,71.6,1.4,0.0,0
0.13480329513549805,71.6,1.4,0.0,0
0.13738131523132324,71.6,1.4,0.0,0
0.13985180854797363,64.5,1.4,0.0,0
0.1423046588897705,64.5,1.4,0.0,0
0.14476346969604492,64.5,1.4,0.0,0
0.14721345901489258,64.5,1.4,0.0,0
0.14966344833374023,58.6,1.4,0.0,0
0.15211105346679688,58.6,1.4,0.0,0
0.15456628799438477,58.6,1.3,0.0,0
0.15702152252197266,58.6,1.3,0.0,0
0.15947461128234863,53.3,1.3,0.0,0
0.16193842887878418,53.3,1.3,0.0,0
0.16439080238342285,53.3,1.4,0.0,0
0.16684579849243164,53.3,1.4,0.0,0
0.1692962646484375,49.5,1.4,0.0,0
0.17174625396728516,49.5,1.4,0.0,0
0.1741952896118164,49.5,1.5,0.0,0
0.17664122581481934,49.5,1.5,0.0,0
0.17909860610961914,48.4,1.5,0.0,0
0.1815502643585205,48.4,1.5,0.0,0
0.18400239944458008,48.4,1.5,0.0,0
0.18645524978637695,48.4,1.5,0.0,0
0.18890738487243652,47.7,1.5,0.0,0
0.1913588047027588,47.7,1.5,0.0,0
0.19381093978881836,47.7,1.4,0.0,0
0.1962730884552002,47.7,1.4,0.0,0
0.19872331619262695,45.0,1.4,0.0,0
0.2011737823486328,45.0,1.4,0.0,0
0.2036287784576416,45.0,1.3,0.0,0
0.20608091354370117,45.0,1.3,0.0,0
0.20853137969970703,43.4,1.3,0.0,0
